prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
3059.0,193.0,0.11626029014587402,1.6724765300750732,3,1,1756691596.7145522,1756691598.503289
3059.0,150.0,0.7829430103302002,3.1624855995178223,2,1,1756691596.312832,1756691600.2582607
3168.0,240.0,0.5243692398071289,5.0304200649261475,7,1,1756691596.3138397,1756691601.8686297
3422.0,162.0,0.11774563789367676,1.4489572048187256,7,2,1756691601.9507823,1756691603.5174856
3640.0,84.0,0.0467534065246582,0.6723284721374512,7,3,1756691603.5620089,1756691604.2810907
3093.0,235.0,0.8512189388275146,4.859343528747559,10,1,1756691596.5147502,1756691602.2253132
3566.0,77.0,0.12215828895568848,0.7219283580780029,10,2,1756691602.2530737,1756691603.0971622
3923.0,51.0,0.4354836940765381,1.214656114578247,10,3,1756691603.4615808,1756691605.111721
4181.0,10.0,0.051747798919677734,0.07377457618713379,10,4,1756691605.180387,1756691605.3059113
3069.0,223.0,0.7202579975128174,4.205106735229492,4,1,1756691596.0114732,1756691600.9368384
3304.0,300.0,1.1638860702514648,6.207509517669678,4,2,1756691600.941612,1756691608.3130078
3063.0,51.0,0.18754339218139648,0.4340333938598633,8,1,1756691596.7156458,1756691597.337223
3139.0,300.0,0.036243438720703125,2.330702781677246,8,2,1756691597.9219348,1756691600.288881
3459.0,300.0,1.252244234085083,7.666086912155151,8,3,1756691600.336559,1756691609.2548907
3058.0,261.0,0.7541530132293701,5.3188254833221436,5,1,1756691596.5136855,1756691602.5866644
3390.0,300.0,0.7887110710144043,6.131970643997192,5,2,1756691602.6550024,1756691609.575686
3073.0,15.0,0.09825825691223145,0.11130380630493164,21,1,1756691600.8412309,1756691601.0507934
3113.0,8.0,0.03619027137756348,0.06124520301818848,21,2,1756691602.0513847,1756691602.1488209
3159.0,30.0,0.031210899353027344,0.24384307861328125,21,3,1756691603.2609499,1756691603.5360043
3307.0,46.0,1.5779333114624023,1.3559179306030273,21,4,1756691604.3772964,1756691607.3111484
3415.0,76.0,0.8168635368347168,1.4895508289337158,21,5,1756691607.3978982,1756691609.704313
3062.0,68.0,0.15346479415893555,0.5853559970855713,13,1,1756691596.8150847,1756691597.553906
3147.0,91.0,0.6470751762390137,1.8270130157470703,13,2,1756691598.0243058,1756691600.498394
3256.0,300.0,0.03426241874694824,2.5673789978027344,13,3,1756691600.5371826,1756691603.1388257
3575.0,294.0,0.34618115425109863,6.0127785205841064,13,4,1756691603.1586268,1756691609.517587
3888.0,116.0,0.05104565620422363,1.2356781959533691,13,5,1756691609.6178315,1756691610.904556
3067.0,103.0,0.09939765930175781,0.8591046333312988,14,1,1756691597.3198712,1756691598.278374
3227.0,128.0,0.7799913883209229,2.992039918899536,14,2,1756691598.5274496,1756691602.299481
3380.0,108.0,0.05843520164489746,0.9581687450408936,14,3,1756691602.3533378,1756691603.3699424
