prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
8090.0,96.0,0.5130171775817871,1.1029670238494873,9,1,1756784255.0005414,1756784256.6165257
7236.0,75.0,0.2888669967651367,0.8916745185852051,11,1,1756784255.5808203,1756784256.7613618
8381.0,207.0,0.49060559272766113,2.2017438411712646,8,1,1756784254.7063844,1756784257.3987343
7307.0,157.0,0.2862892150878906,1.298051118850708,14,1,1756784256.4637632,1756784258.0481043
8593.0,300.0,0.34044837951660156,2.5586893558502197,12,1,1756784255.8747685,1756784258.7739062
8158.0,87.0,1.9040679931640625,4.434360504150391,4,1,1756784253.5345347,1756784259.8729634
7690.0,55.0,3.7933530807495117,2.9738171100616455,6,1,1756784254.118111,1756784260.8852813
8484.0,99.0,0.4549531936645508,0.9967825412750244,29,1,1756784260.8605776,1756784262.312314
7373.0,105.0,1.1485254764556885,4.837887763977051,16,1,1756784257.0448792,1756784263.031293
7327.0,164.0,0.2920653820037842,1.3240129947662354,32,1,1756784261.7426078,1756784263.3586867
7906.0,213.0,0.4633960723876953,1.8172399997711182,30,1,1756784261.155732,1756784263.4363685
7723.0,121.0,1.601029634475708,6.24305534362793,17,1,1756784257.3382843,1756784265.1823697
6479.0,102.0,4.759653568267822,5.252327919006348,10,1,1756784255.294059,1756784265.306041
7787.0,155.0,4.700890302658081,8.506716012954712,7,1,1756784254.4114938,1756784267.6191006
8604.0,226.0,2.865570306777954,12.475293397903442,5,1,1756784253.824655,1756784269.1655188
7553.0,139.0,2.6892144680023193,7.416259765625,24,1,1756784259.3895342,1756784269.4950085
7679.0,168.0,0.3212306499481201,2.473886013031006,49,1,1756784266.7025654,1756784269.4976826
7292.0,120.0,6.089049816131592,6.987013578414917,15,1,1756784256.759057,1756784269.83514
8185.0,269.0,0.43744826316833496,4.000622272491455,45,1,1756784265.5319538,1756784269.970025
8983.0,153.0,5.4062371253967285,8.515398263931274,13,1,1756784256.1705241,1756784270.0921595
7112.0,95.0,0.4276754856109619,1.5368499755859375,54,1,1756784268.1417255,1756784270.1062531
7724.0,193.0,0.32767581939697266,2.9373042583465576,50,1,1756784266.9890716,1756784270.2540517
7018.0,89.0,4.687727451324463,4.151980876922607,31,1,1756784261.4491565,1756784270.2888656
7707.0,107.0,4.795724868774414,5.092315435409546,28,1,1756784260.5653675,1756784270.4534078
7037.0,57.0,0.4839353561401367,0.9608967304229736,57,1,1756784269.0087981,1756784270.4536302
7882.0,290.0,0.42901039123535156,4.496518611907959,46,1,1756784265.8266058,1756784270.7521348
8321.0,212.0,2.6123712062835693,10.696524620056152,19,1,1756784257.9278822,1756784271.236778
6788.0,300.0,0.37930727005004883,4.814580678939819,47,1,1756784266.1212704,1756784271.3151588
8466.0,121.0,0.4384620189666748,2.188056230545044,56,1,1756784268.721133,1756784271.3476512
7908.0,235.0,2.11606764793396,11.692463874816895,18,1,1756784257.6338985,1756784271.4424305
7257.0,300.0,0.3484330177307129,4.884253978729248,48,1,1756784266.4152143,1756784271.6479018
7445.0,202.0,3.229930877685547,9.490243911743164,25,1,1756784259.6827083,1756784272.402884
7040.0,54.0,0.5401549339294434,1.0223381519317627,64,1,1756784271.036664,1756784272.599158
7977.0,102.0,6.30890154838562,3.9950881004333496,34,1,1756784262.3327565,1756784272.6367471
6412.0,300.0,0.2926819324493408,5.0825207233428955,51,1,1756784267.2759943,1756784272.6511977
8047.0,276.0,0.4042952060699463,4.780373573303223,53,1,1756784267.8535416,1756784273.038212
8035.0,187.0,0.7017276287078857,3.0207877159118652,60,1,1756784269.875627,1756784273.5981429
7701.0,140.0,6.8903186321258545,8.067659854888916,22,1,1756784258.8024087,1756784273.760388
9009.0,166.0,5.350870609283447,6.37609601020813,33,1,1756784262.0365055,1756784273.7634728
8276.0,242.0,0.5843915939331055,3.8771321773529053,58,1,1756784269.2994134,1756784273.760938
8726.0,171.0,0.8052046298980713,2.526484489440918,62,1,1756784270.4587848,1756784273.7904747
7831.0,194.0,0.7301235198974609,2.9392035007476807,61,1,1756784270.1690576,1756784273.8383856
