prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
8090.0,96.0,0.3696787357330322,1.2626473903656006,9,1,1756977207.6768324,1756977209.3091595
6479.0,102.0,0.4493112564086914,1.390740156173706,10,1,1756977207.8389056,1756977209.6789575
8983.0,153.0,0.35588860511779785,2.319361925125122,13,1,1756977208.3263764,1756977211.0016274
7723.0,121.0,0.3167281150817871,1.8645339012145996,17,1,1756977208.9758408,1756977211.1571028
7307.0,157.0,0.45079827308654785,2.3910460472106934,14,1,1756977208.4885826,1756977211.3304276
7236.0,75.0,1.8778393268585205,2.661240339279175,11,1,1756977208.0010169,1756977212.540097
7701.0,140.0,0.4797065258026123,2.3023829460144043,22,1,1756977209.7636333,1756977212.5457232
8484.0,99.0,0.46858882904052734,1.7485930919647217,29,1,1756977210.8920686,1756977213.109251
7908.0,235.0,0.4318082332611084,3.9280269145965576,18,1,1756977209.1387439,1756977213.4985797
7977.0,102.0,0.38918590545654297,1.898728370666504,34,1,1756977211.682727,1756977213.9706419
7445.0,202.0,0.35761094093322754,3.692800998687744,25,1,1756977210.2523744,1756977214.302787
6989.0,96.0,0.6200575828552246,2.101994276046753,38,1,1756977212.3337085,1756977215.0557609
7327.0,164.0,0.34808874130249023,3.3824315071105957,32,1,1756977211.355978,1756977215.086499
7292.0,120.0,2.1364269256591797,4.389348030090332,15,1,1756977208.6508923,1756977215.176668
8190.0,300.0,0.36650800704956055,5.8229029178619385,21,1,1756977209.6090326,1756977215.798444
9009.0,166.0,0.8827886581420898,3.8861169815063477,33,1,1756977211.519486,1756977216.2883925
7787.0,155.0,1.621903419494629,7.490707159042358,7,1,1756977207.3508108,1756977216.463422
8381.0,207.0,1.4716951847076416,7.722688436508179,8,1,1756977207.5142136,1756977216.7085977
8670.0,268.0,0.5850670337677002,5.807701826095581,26,1,1756977210.4152129,1756977216.8079824
7373.0,105.0,2.7167255878448486,5.867138862609863,16,1,1756977208.8127975,1756977217.3966625
7037.0,57.0,0.993126392364502,1.5306205749511719,57,1,1756977215.361272,1756977217.8850195
7553.0,139.0,2.4866116046905518,5.575176477432251,24,1,1756977210.0901506,1756977218.1519387
7018.0,89.0,3.280402421951294,3.6694741249084473,31,1,1756977211.2019112,1756977218.1517878
8027.0,170.0,2.2631003856658936,6.674847841262817,20,1,1756977209.4549284,1756977218.392877
8422.0,93.0,0.8701338768005371,2.906273126602173,55,1,1756977215.0398939,1756977218.8163013
7040.0,54.0,0.7462265491485596,1.901172161102295,64,1,1756977216.4579234,1756977219.1053226
6853.0,259.0,0.8387820720672607,7.0664050579071045,35,1,1756977211.8453395,1756977219.7505274
7710.0,232.0,0.8365848064422607,6.762707471847534,39,1,1756977212.4967268,1756977220.096019
8466.0,121.0,0.9549124240875244,3.943173408508301,56,1,1756977215.198098,1756977220.0961838
7679.0,168.0,0.8906078338623047,5.275040626525879,49,1,1756977214.0856302,1756977220.251279
8502.0,126.0,2.6242306232452393,5.622470140457153,41,1,1756977212.816907,1756977221.0636086
7724.0,193.0,1.3227474689483643,6.4707958698272705,50,1,1756977214.2401702,1756977222.0337136
8185.0,269.0,0.5485501289367676,8.69123363494873,45,1,1756977213.450102,1756977222.6898866
7629.0,89.0,1.5724413394927979,3.217857599258423,75,1,1756977218.1761036,1756977222.966403
